CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
952,1,12,0,150,150,0,0,0,0,150,150
1764,2,9,0,146,146,0,0,0,0,150,296
